route_id,agency_id,route_short_name,Type,avg_co2_per_vehicle_per_km,avg_passenger_count,route_long_name,route_desc,route_type,route_url
2207,HSL,207,M-bus,230,1.5,Leppävaara-Lintukorpi,,704,http://aikataulut.hsl.fi/linjat/fi/b207.html
2212,HSL,212,A-bus,0,11,Kamppi-Meilahti-Laajalahti-Kauniainen,,701,http://aikataulut.hsl.fi/linjat/fi/b212.html
2213,HSL,213,A-bus,0,11,Kamppi-Meilahti-Suvela-Espoon keskus-Kauklahti,,701,http://aikataulut.hsl.fi/linjat/fi/b213.html
2213N,HSL,213N,A-bus,0,11,Kamppi-Meilahti-Laajalahti-Suvela-Espoon keskus,,701,http://aikataulut.hsl.fi/linjat/fi/b213N.html
2214,HSL,214,A-bus,550,11,Leppävaara-Karakallio-Rastaala-Jupperi,,701,http://aikataulut.hsl.fi/linjat/fi/b214.html
2215,HSL,215,A-bus,550,11,Leppävaara-Jupperi-Lähderanta,,701,http://aikataulut.hsl.fi/linjat/fi/b215.html
2224,HSL,224,A-bus,550,11,Leppävaara-Kauniainen-Espoon keskus-Tuomarila,,701,http://aikataulut.hsl.fi/linjat/fi/b224.html
2224B,HSL,224B,A-bus,550,11,Kauniainen-Espoon keskus-Tuomarila,,701,http://aikataulut.hsl.fi/linjat/fi/b224B.html
2225,HSL,225,A-bus,550,11,Leppävaara-Karakallio-Viherlaakso-Lippajärvi-Högnäs,,701,http://aikataulut.hsl.fi/linjat/fi/b225.html
2227,HSL,227,A-bus,550,11,Leppävaara-Lippajärvi-Jorvi,,701,http://aikataulut.hsl.fi/linjat/fi/b227.html
2229,HSL,229,M-bus,230,1.5,Leppävaara-Karakallio-Viherlaakso,,704,http://aikataulut.hsl.fi/linjat/fi/b229.html
2231N,HSL,231N,A-bus,550,11,Elielinaukio-Leppävaara-Lintuvaara-Vanhakartano,,701,http://aikataulut.hsl.fi/linjat/fi/s231n.html
2232,HSL,232,M-bus,230,1.5,Kirkkotie-Gallträsk-Kasavuori-Kirkkotie,,704,http://aikataulut.hsl.fi/linjat/fi/b232.html
2235N,HSL,235N,A-bus,550,11,Elielinaukio-Leppävaara-Espoon keskus-Kuurinniitty,,701,http://aikataulut.hsl.fi/linjat/fi/b235N.html
2236,HSL,236,A-bus,550,11,Leppävaara-Viherlaakso-Kalajärvi-Serena,,701,http://aikataulut.hsl.fi/linjat/fi/b236.html
2236B,HSL,236B,A-bus,550,11,Leppävaara-Viherlaakso-Vanhakartano,,701,http://aikataulut.hsl.fi/linjat/fi/b236B.html
2236V,HSL,236V,A-bus,550,11,Leppävaara-Viherlaakso-Koskelo-Kalajärvi-Serena,,701,http://aikataulut.hsl.fi/linjat/fi/b236V.html
2239,HSL,239,A-bus,550,11,Leppävaara-Viherlaakso-Perusmäki-Kalajärvi,,701,http://aikataulut.hsl.fi/linjat/fi/b239.html
2241,HSL,241,M-bus,230,1.5,Espoon keskus-Mikkelä-Hirvisuo,,701,http://aikataulut.hsl.fi/linjat/fi/b241.html
2241V,HSL,241V,M-bus,230,1.5,Espoon keskus-Hirvisuo,,701,http://aikataulut.hsl.fi/linjat/fi/b241V.html
2242,HSL,242,M-bus,230,1.5,Espoon keskus-Kauklahti,,701,http://aikataulut.hsl.fi/linjat/fi/b242.html
2244,HSL,244,A-bus,1100,11,Espoon keskus-Nupuri-Brobacka-Siikaniemi,,701,http://aikataulut.hsl.fi/linjat/fi/b244.html
2245,HSL,245,A-bus,1100,11,Espoon keskus-Nuuksionpää,,701,http://aikataulut.hsl.fi/linjat/fi/b245.html
2246,HSL,246,A-bus,1100,11,Espoon keskus-Röylä-Bodom-Espoon keskus,,701,http://aikataulut.hsl.fi/linjat/fi/b246.html
2246K,HSL,246K,A-bus,1100,11,Espoon keskus-Kellonummi-Röylä,,701,http://aikataulut.hsl.fi/linjat/fi/b246K.html
2246KT,HSL,246KT,A-bus,1100,11,Espoon keskus-Kellonummi-Bodom-Röylä,,701,http://aikataulut.hsl.fi/linjat/fi/b246KT.html
2246T,HSL,246T,A-bus,1100,11,Espoon keskus-Bodom-Röylä,,701,http://aikataulut.hsl.fi/linjat/fi/b246T.html
2321,HSL,321,C-bus,1300,14,Elielinaukio-Jupperi-Vanhakartano,,701,http://aikataulut.hsl.fi/linjat/fi/b321.html
2345,HSL,345,C-bus,1300,14,Elielinaukio-Rinnekoti,,701,http://aikataulut.hsl.fi/linjat/fi/b345.html
2345N,HSL,345N,C-bus,1300,14,Elielinaukio-Hämeenkylä-Rinnekoti,,701,http://aikataulut.hsl.fi/linjat/fi/b345N.html
2348,HSL,348,A-bus,1100,11,Rinnekoti-Röylä-Kalajärvi,,701,http://aikataulut.hsl.fi/linjat/fi/b348.html
2348K,HSL,348K,A-bus,1100,11,Rinnekoti-Lahnus-Hännikäinen-Kalajärvi,,701,http://aikataulut.hsl.fi/linjat/fi/b348K.html
2349,HSL,349,A-bus,1100,11,Lepsämänjoki-Hännikäinen-Serena-Kalajärvi-Perusmäki-Nemlahti,,701,http://aikataulut.hsl.fi/linjat/fi/b349.html
